ID,Name,Age,Gender,City,Salary,Joining_Date,Department,Remote_Work,Performance_Score
1,Alice,55.0,,Phoenix,116123.0,2015-11-13,Finance,False,3.0
2,Bob,45.0,,nan,108411.0,2020-06-09,HR,True,
3,David,31.0,,New York,N/A,2016-09-26,Support,False,
4,Bob,59.0,,Phoenix,115469.0,2020-04-09,Finance,False,5.0
5,David,24.0,Other,New York,41555.0,2020-08-18,Engineering,False,1.0
6,Eve,37.0,Female,Houston,53150.0,2022-09-22,HR,,4.0
7,Frank,55.0,Male,Los Angeles,83002.0,2021-03-20,HR,,2.0
8,Charlie,35.0,,nan,34853.0,2018-12-10,HR,False,2.0
9,,39.0,,Los Angeles,91396.0,2016-07-06,Engineering,,2.0
10,Eve,27.0,,New York,54058.0,2016-12-16,Engineering,True,4.0
11,Charlie,27.0,Other,nan,58769.0,2018-07-11,Marketing,True,
12,Charlie,40.0,,Los Angeles,126999.0,2019-09-10,,False,1.0
13,,52.0,,Phoenix,83276.0,2020-02-27,Finance,True,4.0
14,Charlie,56.0,,Chicago,108411.0,2018-01-12,Marketing,False,2.0
15,David,40.0,Female,New York,124613.0,2018-09-03,Finance,False,5.0
16,Bob,19.0,Other,Los Angeles,135921.0,2015-04-21,,True,3.0
17,Charlie,38.0,,New York,30060.0,2015-09-08,Engineering,,4.0
18,Eve,18.0,Male,New York,45048.0,2021-08-27,,True,4.0
19,Eve,40.0,Male,nan,56657.0,2020-08-16,Engineering,True,1.0
20,Eve,60.0,Male,nan,75186.0,2016-04-03,,False,1.0
21,,46.0,Other,Chicago,112565.0,2018-01-12,Marketing,False,4.0
22,Bob,54.0,Other,Phoenix,31524.0,2015-07-27,Support,False,2.0
23,,18.0,Male,New York,64008.0,2017-06-18,Marketing,False,3.0
24,Alice,37.0,,Los Angeles,115469.0,2015-01-22,Finance,,1.0
25,David,49.0,Other,Houston,135921.0,2016-02-14,Marketing,,2.0
26,Bob,28.0,Male,New York,97298.0,2017-06-13,HR,,5.0
27,Frank,38.0,Male,New York,45850.0,2016-05-29,Finance,False,1.0
28,Frank,60.0,,Chicago,N/A,2017-03-19,,False,2.0
29,Frank,41.0,Female,Phoenix,130424.0,2017-05-23,Finance,False,2.0
30,Eve,43.0,Other,Houston,104666.0,2015-01-14,Support,,3.0
31,David,58.0,,nan,108411.0,2017-08-28,Engineering,False,3.0
32,Charlie,44.0,Male,nan,70809.0,2020-11-04,,True,5.0
